Timestamp,Prediction
1727677808.6254961,ObstructiveApnea
1727677818.633041,ObstructiveApnea
1727677828.639554,ObstructiveApnea
1727677838.647273,ObstructiveApnea
1727677848.655176,NormalSleep
1727677858.6619189,NormalSleep
1727677868.670204,NormalSleep
1727677878.678057,ObstructiveApnea
1727677888.686132,NormalSleep
1727677898.69279,NormalSleep
1727677908.7006772,NormalSleep
1727677918.7078688,NormalSleep
1727677928.7144551,ObstructiveApnea
1727677938.722229,ObstructiveApnea
1727677948.730078,ObstructiveApnea
1727677958.738234,ObstructiveApnea
1727677968.746001,ObstructiveApnea
1727677978.752707,ObstructiveApnea
1727677988.7603588,ObstructiveApnea
1727677998.767981,ObstructiveApnea
1727678008.777038,NormalSleep
1727678018.7843351,ObstructiveApnea
1727678028.792044,NormalSleep
1727678038.7998211,NormalSleep
1727678048.807531,ObstructiveApnea
1727678058.8144798,ObstructiveApnea
1727678068.821048,ObstructiveApnea
1727678078.827774,ObstructiveApnea
1727678088.836513,ObstructiveApnea
1727678098.8429801,ObstructiveApnea
1727678108.8494122,NormalSleep
1727678118.857208,NormalSleep
1727678128.864851,NormalSleep
1727678138.872627,NormalSleep
1727678148.880309,NormalSleep
1727678158.888117,NormalSleep
1727678168.894629,NormalSleep
1727678178.902952,NormalSleep
1727678188.91058,NormalSleep
1727678198.9180841,NormalSleep
1727678208.925807,NormalSleep
1727678218.933438,ObstructiveApnea
1727678228.940228,ObstructiveApnea
1727678238.947938,ObstructiveApnea
1727678248.955677,ObstructiveApnea
1727678258.962417,ObstructiveApnea
1727678268.9704409,ObstructiveApnea
1727678278.978185,ObstructiveApnea
1727678288.986018,ObstructiveApnea
1727678298.993906,ObstructiveApnea
1727678309.000376,ObstructiveApnea
1727678319.008172,ObstructiveApnea
1727678329.014658,ObstructiveApnea
1727678339.0226471,ObstructiveApnea
1727678349.029403,ObstructiveApnea
1727678359.037447,ObstructiveApnea
1727678369.0452778,ObstructiveApnea
1727678379.05358,ObstructiveApnea
1727678389.0604548,ObstructiveApnea
1727678399.0668092,ObstructiveApnea
1727678409.0745568,ObstructiveApnea
1727678419.082148,ObstructiveApnea
1727678429.089876,ObstructiveApnea
1727678439.097653,ObstructiveApnea
1727678449.104372,ObstructiveApnea
1727678459.111168,ObstructiveApnea
1727678469.118358,ObstructiveApnea
1727678479.125855,NormalSleep
1727678489.142808,ObstructiveApnea
1727678499.156325,ObstructiveApnea
1727678509.165313,ObstructiveApnea
1727678519.173104,ObstructiveApnea
1727678529.180823,NormalSleep
1727678539.188586,ObstructiveApnea
1727678549.196301,NormalSleep
1727678559.204088,NormalSleep
1727678569.21057,NormalSleep
1727678579.21814,NormalSleep
1727678589.225955,NormalSleep
1727678599.232682,NormalSleep
1727678609.23922,NormalSleep
1727678619.246885,NormalSleep
1727678629.25347,ObstructiveApnea
1727678639.2614179,ObstructiveApnea
1727678649.2700522,NormalSleep
1727678659.276787,NormalSleep
1727678669.284491,NormalSleep
1727678679.291341,NormalSleep
1727678689.299514,NormalSleep
1727678699.307263,NormalSleep
1727678709.315014,NormalSleep
1727678719.321592,NormalSleep
1727678729.328416,NormalSleep
1727678739.3357341,NormalSleep
1727678749.342222,NormalSleep
1727678759.348865,NormalSleep
1727678769.3559911,NormalSleep
1727678779.36258,NormalSleep
1727678789.3706748,NormalSleep
1727678799.3784902,NormalSleep
1727678809.3865979,NormalSleep
1727678819.3945758,NormalSleep
1727678829.4017658,ObstructiveApnea
1727678839.408458,NormalSleep
1727678849.4161868,NormalSleep
1727678859.424018,NormalSleep
1727678869.431793,NormalSleep
1727678879.439687,NormalSleep
1727678889.446594,NormalSleep
1727678899.453435,NormalSleep
1727678909.4602292,NormalSleep
1727678919.46803,NormalSleep
1727678929.474756,NormalSleep
1727678939.4814239,NormalSleep
1727678949.489318,NormalSleep
1727678959.496077,NormalSleep
1727678969.50262,NormalSleep
1727678979.5106719,NormalSleep
1727678989.518429,NormalSleep
1727678999.525323,ObstructiveApnea
1727679009.5322418,ObstructiveApnea
1727679019.539467,NormalSleep
1727679029.546219,NormalSleep
1727679039.553945,NormalSleep
1727679049.560708,NormalSleep
1727679059.568495,NormalSleep
1727679069.576308,NormalSleep
1727679079.583085,NormalSleep
1727679089.5908349,NormalSleep
1727679099.59746,NormalSleep
1727679109.6043851,NormalSleep
1727679119.61225,NormalSleep
1727679129.61968,NormalSleep
1727679139.627748,NormalSleep
1727679149.635373,NormalSleep
1727679159.6431181,NormalSleep
1727679169.6497128,NormalSleep
1727679179.657612,NormalSleep
1727679189.665271,NormalSleep
1727679199.67304,NormalSleep
1727679209.679691,NormalSleep
1727679219.687667,NormalSleep
1727679229.694477,NormalSleep
1727679239.7017322,NormalSleep
1727679249.708298,NormalSleep
1727679259.715203,NormalSleep
1727679269.72301,NormalSleep
1727679279.729994,NormalSleep
1727679289.7378838,NormalSleep
1727679299.746342,NormalSleep
1727679309.75698,NormalSleep
1727679319.764802,NormalSleep
